t,count,p,min_prone_overlap,min_n_flights,min_util,int1,int2,int3,int4,n_potential_conflics,E[n_conflicts],total_remaining_conflicts,disruption_occured,recovered,value,prev_action,folder
6,5942,0.68,0.0,1,0.125,0.0,0.125,0.0,0.0,1.0,0.68,0,0,0.0,-2.763093848444394,"('none', 'none', 'none')",TRAIN17
7,1406,0.68,0,1,0.29545454545454547,0,0.45454545454545453,0.0,0,0.0,0,0,1,1.0,0,"('swap', '1', '#3')",TRAIN17
1,5998,0.75,15.0,2,0.3235294117647059,30.0,0.6470588235294118,10.588235294117649,11.25,1.0,0.75,0,0,0.0,-13.72531673033763,"('swap', '13', '#2')",TRAIN22
2,5998,0.75,0.0,2,0.375,0.0,1.0,0.0,0.0,1.0,0.75,0,0,0.0,-3.2210223298070106,"('swap', '5', '#5')",TRAIN22
3,2289,0.75,0,1,0.38333333333333336,0,0.4666666666666667,0.0,0.0,0.0,0.0,0,1,1.0,-0.0,"('swap', '10', '#2')",TRAIN22
1,4724,0.56,105.0,1,0.16176470588235295,135.0,0.16176470588235295,21.83823529411765,58.800000000000004,1.0,0.56,0,0,0.0,-84.07317201471535,"('swap', '24', '#2')",TRAIN20
2,2412,0.56,105.0,1,0.171875,135.0,0.171875,23.203125,58.800000000000004,1.0,0.56,0,0,0.0,-65.05277442821136,"('swap', '17', '#2')",TRAIN20
3,542,0.56,0,1,0.18333333333333332,0,0.18333333333333332,0.0,0.0,0.0,0.0,0,0,0.0,-0.0,"('none', 'none', 'none')",TRAIN20
1,5998,0.88,15.0,1,0.17647058823529413,30.0,0.17647058823529413,9.264705882352942,26.4,2.0,1.76,0,0,0.0,-14.21258349029603,"('swap', '1', '#2')",TRAIN21
2,5754,0.88,0.0,2,0.265625,0.0,0.53125,0.0,0.0,1.0,0.88,0,0,0.0,-9.222574694240036,"('swap', '3', '#3')",TRAIN21
3,5736,0.88,0.0,2,0.2833333333333333,0.0,0.5666666666666667,0.0,0.0,1.0,0.88,0,0,0.0,-9.49107400178457,"('none', 'none', 'none')",TRAIN21
4,1676,0.88,0,2,0.30357142857142855,0,0.6071428571428571,0.0,0.0,0.0,0.0,0,1,1.0,-0.0,"('swap', '4', '#5')",TRAIN21
1,5998,0.77,0.0,1,0.19117647058823528,0.0,0.2647058823529412,0.0,0.0,3.0,2.31,0,0,0.0,-17.91315364439994,"('swap', '5', '#2')",TRAIN18
2,4096,0.77,0.0,1,0.203125,0.0,0.21875,0.0,0.0,3.0,2.31,0,0,0.0,-18.134920349774013,"('none', 'none', 'none')",TRAIN18
3,3382,0.77,0.0,0,0.05,0.0,0.0,0.0,0.0,3.0,2.31,0,0,0.0,-13.409993994947971,"('swap', '15', '#3')",TRAIN18
4,3360,0.77,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,2.31,0,0,0.0,-13.70372666042146,"('none', 'none', 'none')",TRAIN18
5,2464,0.77,0.0,1,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,2.0,1.54,0,0,0.0,-7.74706298439395,"('swap', '24', '#5')",TRAIN18
6,264,0.77,0,1,0.08333333333333333,0,0.08333333333333333,0.0,0.0,0.0,0.0,0,0,0.0,-0.0,"('none', 'none', 'none')",TRAIN18
1,3200,0.52,0.0,2,0.22058823529411764,0.0,0.4411764705882353,0.0,0.0,2.0,1.04,0,0,0.0,-9.871894384957578,"('swap', '23', '#3')",TRAIN23
2,3086,0.52,0.0,2,0.21875,0.0,0.4375,0.0,0.0,2.0,1.04,0,0,0.0,-9.82166872384947,"('none', 'none', 'none')",TRAIN23
3,3062,0.52,0.0,2,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,2.0,1.04,0,0,0.0,-9.834425927490157,"('none', 'none', 'none')",TRAIN23
4,2696,0.52,0.0,2,0.26785714285714285,0.0,0.6785714285714286,0.0,0.0,1.0,0.52,0,0,0.0,-4.4516516897878144,"('swap', '15', '#5')",TRAIN23
5,388,0.52,0,1,0.34615384615384615,0,0.38461538461538464,0.0,0,0.0,0,0,1,1.0,0,"('swap', '12', '#5')",TRAIN23
1,5512,0.72,0.0,3,0.2647058823529412,0.0,0.7941176470588236,0.0,0.0,1.0,0.72,0,0,0.0,-7.356147084689955,"('swap', '4', '#6')",TRAIN27
2,1473,0.72,0,2,0.375,0,0.90625,0.0,0.0,0.0,0.0,0,1,1.0,-0.0,"('swap', '8', '#6')",TRAIN27
1,5586,0.78,45.0,1,0.20588235294117646,45.0,0.20588235294117646,9.26470588235294,70.2,2.0,1.56,0,0,0.0,-63.69905474181926,"('swap', '18', '#4')",TRAIN24
2,5276,0.78,0.0,2,0.34375,0.0,0.6875,0.0,0.0,2.0,1.56,0,0,0.0,-23.743319477122444,"('swap', '19', '#2')",TRAIN24
3,4254,0.78,0.0,2,0.3,0.0,0.6,0.0,0.0,1.0,0.78,0,0,0.0,-13.805918102012459,"('swap', '20', '#5')",TRAIN24
4,4508,0.78,0.0,2,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,1.0,0.78,0,0,0.0,-8.881057477512059,"('swap', '16', '#2')",TRAIN24
5,4508,0.78,0.0,2,0.17307692307692307,0.0,0.34615384615384615,0.0,0.0,1.0,0.78,0,0,0.0,-3.7570433922412834,"('swap', '11', '#5')",TRAIN24
6,1763,0.78,0,1,0.2916666666666667,0,0.4166666666666667,0.0,0,0.0,0,0,1,1.0,0,"('swap', '12', '#4')",TRAIN24
1,5926,0.51,15.0,2,0.23529411764705882,30.0,0.47058823529411764,7.0588235294117645,7.65,1.0,0.51,0,0,0.0,-11.98415048829565,"('none', 'none', 'none')",TRAIN29
2,5914,0.51,15.0,2,0.25,30.0,0.5,7.5,7.65,1.0,0.51,0,0,0.0,-10.15121143881562,"('none', 'none', 'none')",TRAIN29
3,1447,0.51,0,3,0.3333333333333333,0,1.0,0.0,0.0,0.0,0.0,0,1,1.0,-0.0,"('swap', '2', '#6')",TRAIN29
1,4152,0.5,45.0,2,0.3382352941176471,90.0,0.6764705882352942,35.73529411764706,22.5,1.0,0.5,0,0,0.0,-29.709756703021068,"('swap', '10', '#4')",TRAIN25
2,3932,0.5,45.0,2,0.3125,90.0,0.625,32.34375,22.5,1.0,0.5,0,0,0.0,-27.843017147693914,"('none', 'none', 'none')",TRAIN25
3,3920,0.5,45.0,2,0.26666666666666666,90.0,0.5333333333333333,34.5,22.5,1.0,0.5,0,0,0.0,-26.13473281708034,"('none', 'none', 'none')",TRAIN25
4,3892,0.5,45.0,2,0.2857142857142857,90.0,0.5714285714285714,30.53571428571429,22.5,1.0,0.5,0,0,0.0,-25.656824385944976,"('none', 'none', 'none')",TRAIN25
5,3886,0.5,45.0,2,0.28846153846153844,90.0,0.5769230769230769,25.96153846153846,22.5,1.0,0.5,0,0,0.0,-27.321390306407213,"('none', 'none', 'none')",TRAIN25
6,3874,0.5,45.0,2,0.22916666666666666,90.0,0.4583333333333333,28.125,22.5,1.0,0.5,0,0,0.0,-34.52157937221736,"('none', 'none', 'none')",TRAIN25
7,997,0.5,0,2,0.1590909090909091,0,0.3181818181818182,0.0,0.0,0.0,0.0,0,0,0.0,-0.0,"('none', 'none', 'none')",TRAIN25
1,5998,0.8,0.0,1,0.16176470588235295,0.0,0.16176470588235295,0.0,0.0,2.0,1.6,0,0,0.0,-12.721077542118323,"('swap', '1', '#4')",TRAIN26
2,5634,0.8,0.0,1,0.171875,0.0,0.171875,0.0,0.0,2.0,1.6,0,0,0.0,-12.734804839995181,"('none', 'none', 'none')",TRAIN26
3,5566,0.8,0.0,1,0.18333333333333332,0.0,0.18333333333333332,0.0,0.0,2.0,1.6,0,0,0.0,-12.68229183377386,"('none', 'none', 'none')",TRAIN26
